N,Z,rate
94,43,2.12E-11
96,43,1.02E-11
98,43,4.45E-12
100,43,1.50E-12
39,44,0.000393
40,44,0.0119
41,44,0.371
42,44,11.5
43,44,357
44,44,11300
45,44,338000
46,44,1.19E+07
47,44,2.18E+08
48,44,2.10E+09
49,44,1.11E+10
50,44,3.38E+10
51,44,6.26E+10
52,44,7.39E+10
53,44,5.40E+10
54,44,2.81E+10
55,44,2.10E+10
56,44,2.21E+10
57,44,1.83E+10
58,44,1.33E+10
59,44,8.80E+09
60,44,5.38E+09
61,44,3.09E+09
62,44,1.68E+09
63,44,8.66E+08
64,44,1.68E+09
65,44,4.69E+08
66,44,4.64E+08
67,44,3.54E+08
68,44,3.51E+08
69,44,2.12E+08
70,44,9.12E+07
71,44,1.47E+07
72,44,5670000
73,44,350000
74,44,92800
75,44,2300
76,44,607
77,44,52.2
78,44,15.9
79,44,5.82
80,44,1.85
81,44,0.469
82,44,0.11
83,44,0.0258
84,44,0.00734
85,44,0.00213
86,44,0.0005
87,44,0.000121
88,44,1.77E-05
89,44,2.98E-06
90,44,3.52E-07
91,44,5.79E-08
92,44,4.10E-09
94,44,5.51E-11
96,44,2.23E-11
98,44,8.62E-12
100,44,2.65E-12
102,44,1.16E-12
43,45,6.25
44,45,186
45,45,5560
46,45,161000
47,45,5650000
48,45,1.11E+08
49,45,1.19E+09
50,45,7.21E+09
51,45,2.62E+10
52,45,5.93E+10
53,45,8.62E+10
54,45,7.64E+10
55,45,4.33E+10
56,45,1.91E+10
57,45,2.33E+10
58,45,2.29E+10
59,45,1.88E+10
60,45,1.39E+10
61,45,9.59E+09
62,45,6.20E+09
63,45,3.79E+09
